number_of_rooms,district,structure_type,year_of_construction,floor,area,quality,price
3.0,2,1,1998.0,9.0,70.0,3,49800000.0
3.0,2,2,2019.0,3.0,80.0,3,73500000.0
3.0,6,2,2023.0,8.0,64.0,4,37000000.0
2.0,4,2,2021.0,3.0,53.1,3,29500000.0
3.0,3,2,2021.0,4.0,120.0,3,125000000.0
3.0,6,0,2023.0,2.0,82.8,0,57000000.0
3.0,5,1,1970.0,6.0,100.0,3,107000000.0
2.0,5,2,2022.0,3.0,69.5,3,41000000.0
3.0,1,2,2022.0,4.0,75.0,3,79000000.0
2.0,2,2,2007.0,9.0,98.8,3,68000000.0
3.0,2,1,1999.0,5.0,63.1,3,48500000.0
3.0,3,1,1986.0,5.0,90.0,3,64999990.0
1.0,6,2,2017.0,2.0,8.4,1,5800000.0
2.0,6,2,2022.0,3.0,52.0,4,22000000.0
2.0,6,3,2023.0,2.0,53.1,0,35000000.0
3.0,4,3,1985.0,2.0,57.0,3,36000000.0
3.0,6,2,2022.0,2.0,76.0,3,42000000.0
4.0,1,2,2021.0,3.0,104.0,3,115000000.0
1.0,1,3,1981.0,1.0,31.0,1,23500000.0
2.0,2,1,1972.0,4.0,40.8,3,21000000.0
2.0,6,2,2012.0,12.0,98.0,2,32000000.0
4.0,3,2,2022.0,3.0,170.0,3,110000000.0
2.0,6,2,2022.0,7.0,61.0,4,30700000.0
1.0,0,2,2019.0,12.0,36.3,3,24500000.0
3.0,0,0,2018.0,1.0,77.0,3,35000000.0
2.0,2,2,2023.0,8.0,69.0,0,38000000.0
1.0,2,2,2016.0,2.0,35.0,3,29500000.0
1.0,2,2,2019.0,1.0,50.0,3,33500000.0
1.0,6,2,2023.0,1.0,51.95,0,21500000.0
3.0,6,2,2023.0,2.0,77.0,3,36000000.0
2.0,0,2,2022.0,1.0,55.0,3,31500000.0
1.0,2,3,1986.0,3.0,15.0,3,9999999.0
1.0,0,2,2014.0,4.0,46.1,3,21900000.0
2.0,3,2,2015.0,9.0,98.0,3,74500000.0
2.0,7,2,2017.0,4.0,63.3,3,32000000.0
4.0,3,2,2011.0,9.0,141.0,3,89000000.0
1.0,2,2,2015.0,8.0,36.0,3,23900000.0
2.0,1,2,2022.0,7.0,50.0,2,32500000.0
1.0,2,2,2023.0,5.0,44.3,2,26000000.0
1.0,7,2,2020.0,2.0,37.0,3,21500000.0
2.0,7,3,1973.0,4.0,46.0,3,25000000.0
4.0,5,2,1997.0,6.0,190.0,3,175000000.0
3.0,3,3,1992.0,1.0,73.0,3,50000000.0
2.0,5,2,2010.0,3.0,80.0,3,41000000.0
3.0,2,3,1963.0,4.0,60.0,3,31000000.0
3.0,2,2,2004.0,4.0,80.0,3,56000000.0
1.0,6,2,2020.0,8.0,44.0,3,26000000.0
2.0,5,3,1989.0,8.0,49.0,3,47500000.0
3.0,7,2,2007.0,4.0,78.0,3,40000000.0
3.0,6,2,2019.0,8.0,75.0,3,44000000.0
3.0,0,2,2021.0,11.0,55.0,3,35900000.0
3.0,3,2,2008.0,5.0,133.2,3,100000000.0
5.0,3,2,2016.0,8.0,153.0,3,135000000.0
2.0,0,2,2022.0,12.0,55.0,3,35000000.0
2.0,2,2,2018.0,7.0,40.0,3,26590000.0
1.0,6,2,2022.0,5.0,48.4,0,24500000.0
2.0,3,2,2012.0,4.0,100.5,3,79500000.0
1.0,5,1,1991.0,5.0,32.8,3,35000000.0
1.0,2,2,2010.0,8.0,24.0,3,20000000.0
3.0,3,2,2023.0,2.0,87.95,0,60000000.0
1.0,1,2,2021.0,7.0,44.0,3,34000000.0
1.0,4,2,2021.0,5.0,38.0,3,26000000.0
4.0,7,2,2014.0,5.0,92.0,3,44999990.0
2.0,3,0,2010.0,3.0,70.0,3,65000000.0
2.0,2,2,2009.0,5.0,68.7,3,56000000.0
2.0,3,2,2023.0,11.0,52.0,3,49999990.0
2.0,6,2,2020.0,5.0,60.0,3,35500000.0
3.0,2,3,1981.0,1.0,67.0,1,33500000.0
3.0,7,2,2008.0,5.0,85.0,3,36000000.0
2.0,3,3,1974.0,3.0,46.0,3,35000000.0
2.0,0,2,2015.0,11.0,53.4,1,24500000.0
2.0,0,2,2023.0,3.0,50.0,4,20000000.0
2.0,6,2,2020.0,5.0,61.0,3,32800000.0
3.0,3,2,2012.0,13.0,115.0,3,99999000.0
3.0,2,1,1966.0,1.0,63.4,3,33000000.0
2.0,7,2,2020.0,4.0,52.8,3,33500000.0
4.0,1,3,1988.0,4.0,86.0,3,56500000.0
3.0,1,2,2023.0,9.0,95.1,4,92000000.0
2.0,1,2,2012.0,4.0,64.7,3,44000000.0
2.0,3,2,2023.0,3.0,100.0,0,69800000.0
3.0,2,2,2023.0,5.0,99.4,4,47000000.0
2.0,2,2,2017.0,5.0,63.0,3,47499000.0
2.0,4,2,2021.0,8.0,56.7,3,29500000.0
2.0,2,2,2018.0,10.0,51.0,3,31000000.0
2.0,0,2,2021.0,11.0,58.2,3,35000000.0
2.0,0,2,2018.0,12.0,70.0,3,37500000.0
4.0,5,2,2018.0,1.0,231.0,4,177000000.0
2.0,1,2,2012.0,8.0,68.0,3,46000000.0
2.0,6,2,2021.0,4.0,50.0,3,28000000.0
2.0,3,2,2022.0,1.0,77.0,3,67700000.0
1.0,7,1,1979.0,3.0,20.6,2,8700000.0
2.0,6,2,2023.0,3.0,56.18,4,25500000.0
3.0,3,2,2005.0,12.0,113.0,3,87000000.0
2.0,2,2,2006.0,6.0,56.1,3,45000000.0
1.0,4,2,2014.0,7.0,31.0,1,16000000.0
1.0,1,2,2012.0,17.0,49.0,1,28500000.0
1.0,3,1,1960.0,1.0,27.0,3,23000000.0
2.0,2,2,2023.0,2.0,72.9,4,29670300.0
2.0,1,2,2023.0,6.0,46.0,0,34000000.0
3.0,7,3,1976.0,4.0,63.5,3,27500000.0
2.0,6,2,2023.0,2.0,62.0,4,26000000.0
1.0,3,1,1972.0,4.0,20.5,3,13000000.0
2.0,3,3,1972.0,2.0,46.0,3,38000000.0
1.0,6,2,2020.0,9.0,44.2,3,24500000.0
2.0,6,2,2020.0,3.0,65.2,3,32500000.0
3.0,3,1,1973.0,2.0,84.0,3,61000000.0
2.0,5,2,2021.0,6.0,78.0,3,59900000.0
2.0,3,2,2023.0,14.0,63.35,4,54000000.0
2.0,0,2,2017.0,4.0,56.7,3,35000000.0
3.0,3,2,2022.0,10.0,103.5,0,57000000.0
3.0,3,2,2008.0,11.0,124.0,3,90000000.0
3.0,6,2,2022.0,13.0,82.0,3,52000000.0
1.0,0,2,2021.0,4.0,37.0,3,24200000.0
2.0,2,3,1982.0,5.0,43.0,3,28000000.0
5.0,6,2,2023.0,3.0,324.0,4,79900000.0
1.0,0,2,2011.0,10.0,50.5,3,27500000.0
2.0,0,2,2022.0,3.0,58.0,3,29000000.0
3.0,3,3,1975.0,5.0,58.0,3,37500000.0
1.0,6,0,2015.0,4.0,20.0,3,12500000.0
2.0,7,2,2007.0,3.0,60.0,3,28000000.0
2.0,4,2,2004.0,1.0,61.0,3,32500000.0
2.0,6,2,2021.0,9.0,64.0,3,38500000.0
2.0,3,0,2021.0,10.0,45.0,3,63000000.0
1.0,3,3,1977.0,3.0,31.0,1,27000000.0
2.0,0,2,2017.0,1.0,56.0,3,36000000.0
5.0,3,1,1971.0,2.0,122.1,3,91900000.0
2.0,7,1,1986.0,1.0,40.0,3,19500000.0
3.0,5,2,2022.0,2.0,89.1,2,39500000.0
3.0,3,2,2022.0,4.0,100.0,3,82000000.0
2.0,2,1,2004.0,1.0,78.4,3,43000000.0
2.0,4,2,2018.0,9.0,65.0,3,33500000.0
4.0,1,1,1984.0,2.0,111.3,3,61000000.0
1.0,6,2,2022.0,9.0,37.0,3,21500000.0
3.0,6,2,2021.0,9.0,81.3,3,42500000.0
1.0,6,2,2019.0,9.0,39.0,3,22000000.0
2.0,0,2,2021.0,8.0,45.1,3,28000000.0
2.0,3,2,2023.0,9.0,50.4,0,41000000.0
1.0,2,2,2021.0,9.0,24.0,3,17500000.0
1.0,6,2,2020.0,6.0,43.2,3,22500000.0
2.0,1,1,1980.0,3.0,53.6,3,42000000.0
1.0,2,2,2022.0,7.0,35.0,3,27000000.0
3.0,0,2,2021.0,12.0,70.8,3,39000000.0
2.0,5,2,2022.0,13.0,51.5,4,39500000.0
2.0,2,2,2021.0,6.0,53.1,3,60000000.0
2.0,4,1,1961.0,2.0,37.0,3,18999000.0
2.0,2,2,2021.0,7.0,55.0,3,46000000.0
2.0,0,1,1977.0,1.0,45.0,3,21000000.0
2.0,6,2,2019.0,6.0,59.5,3,29900000.0
2.0,6,2,2019.0,1.0,63.0,3,32600000.0
4.0,6,2,2023.0,2.0,117.0,4,81900000.0
1.0,0,2,2014.0,8.0,44.1,3,25000000.0
4.0,1,3,1988.0,10.0,92.0,3,66000000.0
2.0,3,2,2023.0,4.0,57.2,4,41900000.0
3.0,4,0,1957.0,2.0,55.0,3,22000000.0
2.0,1,3,1985.0,5.0,54.0,3,33500000.0
1.0,6,2,2022.0,4.0,35.0,3,20500000.0
2.0,0,2,2010.0,7.0,68.0,3,38000000.0
