number_of_rooms,district,structure_type,year_of_construction,floor,area,quality,price
2.0,3,1,1987.0,2.0,45.0,3,38500000.0
1.0,0,1,2014.0,1.0,34.8,3,21500000.0
3.0,3,2,2018.0,9.0,88.0,3,75450000.0
2.0,3,1,1956.0,2.0,48.1,1,31000000.0
2.0,2,2,2017.0,1.0,57.2,3,42000000.0
3.0,2,3,1963.0,1.0,58.0,1,28000000.0
3.0,3,2,2019.0,5.0,96.0,3,80000000.0
1.0,3,1,1962.0,3.0,30.0,3,23500000.0
1.0,3,2,2023.0,10.0,31.22,4,25500000.0
3.0,2,1,1994.0,7.0,72.0,3,36999999.0
2.0,3,2,2022.0,11.0,53.0,3,50000000.0
2.0,1,2,2015.0,8.0,91.3,3,65000000.0
2.0,3,2,2023.0,4.0,61.0,4,42500000.0
3.0,2,3,1965.0,2.0,60.0,3,37000000.0
1.0,5,2,2021.0,9.0,48.0,3,42000000.0
2.0,5,2,2022.0,6.0,51.0,3,39999999.0
2.0,2,2,2023.0,2.0,72.9,4,30399300.0
2.0,2,2,2023.0,4.0,72.9,4,30399300.0
3.0,5,2,2014.0,8.0,117.0,3,95000000.0
2.0,3,1,1987.0,1.0,53.0,3,42000000.0
4.0,3,2,2015.0,5.0,182.0,3,282000000.0
1.0,0,2,2017.0,9.0,45.0,3,24700000.0
2.0,3,2,2023.0,6.0,73.91,4,62000000.0
1.0,1,2,2019.0,12.0,30.0,3,30000000.0
3.0,3,1,1970.0,4.0,85.8,3,58000000.0
1.0,1,2,2020.0,7.0,37.0,3,39500000.0
1.0,5,1,1973.0,4.0,43.0,2,32000000.0
3.0,3,1,1955.0,2.0,54.0,2,29000000.0
2.0,3,2,2019.0,15.0,80.0,3,69000000.0
1.0,6,2,2021.0,5.0,40.0,3,17000000.0
2.0,1,2,2023.0,3.0,60.4,4,60400000.0
2.0,3,2,2022.0,2.0,113.0,0,96000000.0
2.0,5,2,2010.0,16.0,90.0,3,94500000.0
1.0,2,2,2023.0,5.0,46.6,4,21948600.0
2.0,0,2,2011.0,3.0,69.6,3,36000000.0
4.0,3,2,2023.0,3.0,165.0,3,129500000.0
2.0,7,2,2017.0,2.0,63.4,3,32000000.0
3.0,3,2,2019.0,7.0,110.0,0,65000000.0
2.0,2,2,2023.0,13.0,77.7,4,46000000.0
6.0,3,2,2016.0,2.0,350.0,4,192500000.0
2.0,6,2,2012.0,13.0,98.0,3,33500000.0
4.0,3,2,2023.0,3.0,165.0,3,125000000.0
2.0,3,2,2008.0,6.0,85.0,3,57000000.0
1.0,6,2,2011.0,10.0,50.0,4,27000000.0
4.0,5,1,1993.0,1.0,82.0,3,83000000.0
4.0,4,3,1989.0,5.0,98.0,2,37000000.0
3.0,7,2,2016.0,5.0,67.0,3,40000000.0
1.0,3,2,2021.0,5.0,40.0,3,57000000.0
1.0,2,2,2024.0,5.0,46.18,4,21750780.0
3.0,3,3,1972.0,4.0,56.4,3,31500000.0
3.0,1,1,1963.0,4.0,60.0,3,42500000.0
2.0,2,3,1994.0,9.0,58.0,3,41370000.0
2.0,1,1,1972.0,4.0,55.0,3,42990000.0
1.0,2,1,1975.0,5.0,16.0,3,12000000.0
2.0,3,2,2018.0,9.0,43.4,3,41500000.0
3.0,1,3,1968.0,4.0,55.9,3,31500000.0
3.0,3,3,1965.0,1.0,65.0,3,55000000.0
1.0,2,3,1966.0,1.0,32.2,3,20500000.0
2.0,2,2,2023.0,5.0,45.0,3,36000000.0
1.0,3,1,1965.0,3.0,32.0,3,21500000.0
3.0,2,3,1969.0,1.0,57.2,3,34500000.0
1.0,6,2,2023.0,2.0,38.0,3,22700000.0
3.0,3,3,1971.0,1.0,55.2,3,34000000.0
4.0,3,2,2006.0,14.0,130.0,1,85000000.0
3.0,3,3,1977.0,4.0,65.3,3,62000000.0
3.0,5,1,1978.0,2.0,84.0,1,80000000.0
2.0,3,1,1963.0,4.0,45.0,3,39500000.0
4.0,3,1,1970.0,4.0,94.8,3,65000000.0
3.0,5,2,2012.0,5.0,127.7,3,160000000.0
3.0,1,2,2023.0,14.0,100.5,4,75000000.0
3.0,5,2,2019.0,3.0,97.6,3,67000000.0
2.0,2,3,1986.0,1.0,53.0,3,33000000.0
2.0,2,3,1991.0,6.0,59.0,3,38000000.0
5.0,5,2,2015.0,15.0,245.0,3,165000000.0
3.0,3,3,1995.0,7.0,71.0,3,54700000.0
3.0,7,2,2010.0,5.0,80.0,3,40000000.0
2.0,7,1,1972.0,1.0,67.5,3,23000000.0
2.0,1,2,2020.0,12.0,57.0,0,36500000.0
2.0,7,1,1963.0,2.0,45.0,3,30000000.0
2.0,7,3,2017.0,5.0,65.0,1,29999000.0
3.0,3,2,2009.0,2.0,120.0,3,102000000.0
2.0,4,3,1982.0,2.0,54.0,1,33500000.0
3.0,6,2,2022.0,4.0,77.2,3,33500000.0
2.0,2,1,1963.0,4.0,49.0,3,33000000.0
3.0,3,1,1962.0,3.0,54.0,3,38000000.0
1.0,2,3,1966.0,3.0,18.0,3,14200000.0
2.0,3,2,2023.0,9.0,50.0,4,35000000.0
4.0,3,2,2013.0,3.0,180.0,3,110000000.0
1.0,4,3,1990.0,1.0,41.8,3,22500000.0
3.0,3,2,2008.0,8.0,90.0,3,75000000.0
3.0,3,2,2023.0,2.0,66.17,0,41000000.0
1.0,7,2,2017.0,4.0,40.0,3,21500000.0
3.0,1,1,1977.0,1.0,80.0,3,72000000.0
2.0,1,2,2012.0,6.0,70.0,3,42500000.0
2.0,3,3,1980.0,5.0,45.0,3,33500000.0
1.0,1,1,1987.0,5.0,36.9,3,30000000.0
2.0,0,2,2013.0,4.0,68.0,3,35000000.0
2.0,1,2,2012.0,10.0,55.5,3,37000000.0
3.0,3,2,2007.0,2.0,100.0,3,64000000.0
2.0,2,2,2016.0,4.0,78.8,3,39000000.0
2.0,5,2,2009.0,4.0,115.0,3,118000000.0
3.0,3,2,2023.0,5.0,115.0,4,105000000.0
2.0,7,2,2021.0,10.0,48.3,3,32000000.0
4.0,5,2,2007.0,1.0,205.0,4,147600000.0
3.0,3,2,2008.0,12.0,141.0,3,85000000.0
2.0,3,2,2023.0,10.0,57.0,4,43500000.0
1.0,3,2,2023.0,4.0,50.0,3,64000000.0
2.0,1,2,2008.0,10.0,92.2,3,72500000.0
5.0,5,2,2014.0,3.0,165.2,3,200000000.0
4.0,1,1,1975.0,3.0,100.0,1,92500000.0
7.0,5,2,2011.0,12.0,320.0,4,170000000.0
3.0,2,3,1968.0,3.0,60.0,3,31000000.0
1.0,0,2,2015.0,4.0,46.0,3,24600000.0
3.0,2,2,2015.0,12.0,95.0,3,70900000.0
2.0,0,2,2010.0,5.0,68.0,3,38000000.0
3.0,3,2,2019.0,14.0,115.0,3,124000000.0
2.0,2,2,2018.0,6.0,52.0,3,43000000.0
2.0,2,2,2018.0,4.0,52.3,2,37000000.0
4.0,3,2,2011.0,1.0,177.0,3,110000000.0
3.0,7,1,1959.0,3.0,72.1,3,33500000.0
3.0,2,2,2014.0,17.0,117.0,3,73000000.0
3.0,1,1,1980.0,2.0,78.0,3,65000000.0
3.0,5,1,1990.0,4.0,89.9,3,70000000.0
4.0,3,2,2023.0,3.0,200.0,4,95200000.0
2.0,4,1,1960.0,2.0,42.0,3,19999999.0
4.0,3,2,2019.0,3.0,127.0,3,143000000.0
2.0,6,2,2023.0,4.0,62.0,3,33000000.0
1.0,5,1,1987.0,5.0,36.9,3,30800000.0
2.0,0,2,2011.0,9.0,47.0,3,26000000.0
2.0,1,1,1984.0,4.0,52.0,3,45000000.0
9.0,1,2,2005.0,21.0,400.0,3,605000000.0
4.0,3,2,2016.0,4.0,123.0,3,110000000.0
2.0,2,2,2023.0,7.0,72.5,4,41000000.0
3.0,5,2,2023.0,8.0,70.0,4,7000000.0
2.0,0,2,2011.0,5.0,48.0,3,27000000.0
1.0,1,3,1978.0,8.0,40.0,3,27000000.0
3.0,3,3,1979.0,5.0,62.0,1,40000000.0
3.0,2,2,2011.0,5.0,120.2,3,72000000.0
2.0,3,2,2016.0,2.0,70.0,4,52500000.0
1.0,0,2,2019.0,2.0,37.0,3,24000000.0
1.0,6,2,2023.0,3.0,34.0,3,20500000.0
3.0,2,3,1991.0,1.0,71.8,3,44000000.0
2.0,3,3,1974.0,3.0,44.5,3,41500000.0
3.0,5,2,2021.0,6.0,112.0,3,125000000.0
1.0,6,2,2022.0,10.0,21.0,3,17000000.0
1.0,5,2,2015.0,10.0,45.9,3,49900000.0
1.0,4,3,1983.0,5.0,43.0,3,23500000.0
1.0,5,1,2018.0,1.0,30.0,3,14000000.0
2.0,3,3,1977.0,5.0,51.7,1,36100000.0
3.0,0,2,2010.0,9.0,91.0,3,39999999.0
3.0,3,2,2008.0,6.0,157.6,3,136900000.0
3.0,4,2,2022.0,4.0,90.0,3,63000000.0
3.0,3,2,2023.0,4.0,74.0,3,96990000.0
1.0,0,2,2018.0,5.0,25.3,3,17500000.0
4.0,3,2,2009.0,4.0,130.0,3,75000000.0
2.0,0,2,2015.0,12.0,66.0,3,31000000.0
3.0,3,3,1975.0,1.0,55.4,2,35000000.0
5.0,2,2,2005.0,9.0,125.0,3,82000000.0
2.0,1,3,1980.0,3.0,54.4,2,34000000.0
2.0,3,1,1970.0,2.0,54.0,3,37900000.0
3.0,3,2,2023.0,1.0,81.7,3,74900000.0
4.0,5,2,2010.0,3.0,138.0,3,128000000.0
4.0,5,2,2002.0,8.0,205.0,3,265000000.0
4.0,5,2,2023.0,4.0,131.0,0,135000000.0
2.0,3,1,1980.0,9.0,45.5,3,33500000.0
3.0,1,2,2007.0,15.0,91.0,3,64500000.0
3.0,1,1,1978.0,1.0,70.0,3,51500000.0
3.0,7,2,2017.0,3.0,85.4,3,38000000.0
3.0,6,2,2020.0,1.0,79.0,3,57000000.0
1.0,3,3,1981.0,3.0,34.0,3,26000000.0
2.0,2,3,1968.0,2.0,42.8,2,23500000.0
2.0,6,2,2022.0,4.0,65.0,3,35500000.0
3.0,1,3,1984.0,4.0,55.0,1,32500000.0
1.0,1,2,2023.0,4.0,46.0,3,47500000.0
1.0,6,2,2022.0,1.0,28.0,4,15500000.0
3.0,6,2,2018.0,7.0,92.0,3,47500000.0
3.0,6,1,2009.0,2.0,80.0,1,45000000.0
1.0,1,2,2023.0,3.0,44.2,4,32000000.0
3.0,1,1,1980.0,2.0,125.0,3,137000000.0
1.0,6,2,2023.0,7.0,34.0,3,23500000.0
2.0,3,2,2021.0,1.0,64.0,0,46800000.0
3.0,5,2,2018.0,7.0,150.0,3,131000000.0
1.0,0,2,2017.0,3.0,30.0,3,18000000.0
4.0,3,2,2019.0,4.0,110.0,3,120000000.0
3.0,3,2,2016.0,20.0,110.0,1,80000000.0
3.0,2,3,1980.0,2.0,60.0,3,35000000.0
3.0,3,3,1975.0,1.0,62.0,3,39000000.0
3.0,1,1,1978.0,1.0,67.0,3,65000000.0
1.0,2,2,2018.0,8.0,45.0,3,33000000.0
1.0,2,1,1969.0,2.0,18.6,3,13000000.0
1.0,3,1,1960.0,2.0,30.0,3,28000000.0
4.0,3,3,1977.0,2.0,73.0,1,45500000.0
1.0,0,2,2019.0,3.0,36.0,3,21900000.0
2.0,1,2,2015.0,2.0,90.0,3,52000000.0
2.0,1,1,1961.0,4.0,38.0,3,25800000.0
3.0,7,2,2016.0,8.0,76.3,1,35999000.0
1.0,1,3,1982.0,4.0,33.0,3,30000000.0
3.0,3,2,2023.0,5.0,93.0,3,111000000.0
3.0,1,1,1978.0,3.0,112.0,3,107000000.0
2.0,3,3,1970.0,2.0,41.5,1,29000000.0
3.0,1,2,2019.0,13.0,88.0,3,65500000.0
3.0,3,3,1973.0,5.0,59.0,3,39990000.0
1.0,2,1,2003.0,1.0,43.0,3,30499999.0
7.0,3,2,2023.0,1.0,330.0,0,257400000.0
2.0,5,2,2010.0,3.0,106.0,3,95000000.0
2.0,5,1,1970.0,3.0,61.2,3,62000000.0
1.0,7,1,1990.0,5.0,30.0,1,18800000.0
2.0,3,3,1972.0,5.0,44.5,3,30000000.0
2.0,5,2,2019.0,3.0,63.0,3,43500000.0
3.0,3,2,2003.0,5.0,99.3,3,77000000.0
1.0,1,2,2005.0,5.0,43.4,2,26500000.0
1.0,4,3,1985.0,2.0,30.5,3,20499000.0
3.0,6,2,2020.0,7.0,92.0,3,48000000.0
2.0,6,3,1989.0,8.0,60.3,3,23000000.0
3.0,1,3,1990.0,5.0,65.0,3,55000000.0
2.0,4,2,1981.0,1.0,53.7,3,29999000.0
3.0,5,2,2022.0,7.0,70.0,3,62500000.0
2.0,3,2,2018.0,1.0,53.0,3,49000000.0
3.0,3,2,2021.0,8.0,107.5,3,108000000.0
1.0,3,2,2019.0,8.0,39.0,4,27000000.0
1.0,3,2,2019.0,7.0,39.0,4,29000000.0
5.0,3,3,1976.0,1.0,94.7,3,51000000.0
2.0,1,3,1974.0,5.0,45.0,3,31500000.0
1.0,3,2,2018.0,4.0,38.0,3,33700000.0
3.0,2,1,1986.0,4.0,70.0,3,38000000.0
1.0,0,2,2015.0,5.0,40.0,3,21000000.0
1.0,6,2,2023.0,1.0,35.0,3,20000000.0
1.0,2,3,1975.0,5.0,20.0,3,10000000.0
1.0,1,2,1986.0,5.0,40.5,1,23500000.0
3.0,3,1,1988.0,4.0,55.8,3,48000000.0
2.0,4,1,1987.0,1.0,62.0,1,22000000.0
2.0,2,2,2008.0,1.0,70.0,3,50000000.0
3.0,7,2,2014.0,3.0,70.0,3,38000000.0
2.0,3,2,2023.0,12.0,49.0,0,41000000.0
2.0,3,2,2013.0,2.0,75.0,3,83000000.0
3.0,3,2,2015.0,2.0,105.0,3,103000000.0
3.0,5,2,2012.0,2.0,103.0,3,97000000.0
3.0,3,2,2009.0,6.0,94.0,1,77000000.0
2.0,5,3,1964.0,2.0,48.0,3,38000000.0
1.0,5,2,2020.0,7.0,25.0,3,21000000.0
3.0,1,2,2018.0,13.0,75.0,3,55500000.0
1.0,6,2,2023.0,8.0,31.0,0,15000000.0
2.0,2,1,1993.0,2.0,50.3,3,37200000.0
3.0,3,2,2007.0,5.0,135.0,3,165000000.0
5.0,5,2,2004.0,5.0,176.0,3,220000000.0
3.0,5,2,2019.0,1.0,140.0,3,160000000.0
1.0,3,2,2023.0,9.0,46.3,4,59500000.0
1.0,2,1,1976.0,2.0,21.0,3,14200000.0
3.0,3,1,1987.0,5.0,72.0,3,62000000.0
2.0,0,2,2016.0,4.0,47.0,3,26900000.0
2.0,0,2,2011.0,8.0,62.0,3,28000000.0
2.0,4,2,2008.0,5.0,58.5,3,26000000.0
2.0,2,2,2023.0,6.0,55.0,3,36500000.0
3.0,1,3,1971.0,2.0,62.0,2,32500000.0
1.0,6,2,2023.0,10.0,41.0,4,21500000.0
1.0,6,2,2023.0,4.0,35.0,3,20400000.0
3.0,2,2,2019.0,4.0,99.2,3,67000000.0
2.0,1,2,2016.0,2.0,85.3,3,53000000.0
3.0,0,2,2021.0,5.0,70.4,3,38200000.0
4.0,5,2,2022.0,3.0,196.5,0,215000000.0
2.0,7,2,2021.0,8.0,60.0,3,36500000.0
1.0,2,1,1980.0,5.0,35.2,3,26700000.0
3.0,5,2,1996.0,4.0,150.7,1,120000000.0
2.0,1,3,1972.0,4.0,45.2,3,34000000.0
2.0,0,2,2023.0,3.0,50.5,3,34500000.0
2.0,4,3,1975.0,3.0,72.2,3,41000000.0
1.0,3,1,1997.0,1.0,41.0,3,36500000.0
2.0,1,2,1995.0,3.0,60.0,3,60000000.0
3.0,3,2,2008.0,8.0,105.0,3,89000000.0
4.0,3,3,1975.0,1.0,75.0,1,40200000.0
3.0,3,2,2021.0,1.0,130.0,3,93000000.0
3.0,5,1,1991.0,9.0,78.0,3,65000000.0
5.0,5,2,2024.0,3.0,240.0,0,188000000.0
1.0,1,3,1981.0,1.0,13.5,3,14300000.0
1.0,2,2,2019.0,5.0,47.0,3,34700000.0
1.0,1,2,2014.0,9.0,40.0,3,33500000.0
3.0,2,3,1983.0,1.0,69.7,2,38700000.0
2.0,0,0,2013.0,5.0,67.3,3,30000000.0
1.0,0,2,2009.0,2.0,50.0,3,30000000.0
3.0,3,2,2023.0,16.0,109.0,4,88000000.0
1.0,0,2,2023.0,2.0,45.1,4,20500000.0
4.0,2,3,1990.0,4.0,106.0,3,66000000.0
2.0,5,2,2022.0,3.0,45.0,3,28500000.0
2.0,3,3,1971.0,3.0,44.2,3,35000000.0
3.0,4,2,2007.0,10.0,75.0,3,43000000.0
2.0,3,2,2023.0,7.0,63.0,3,75000000.0
2.0,4,3,1986.0,1.0,45.0,3,26500000.0
2.0,5,3,1976.0,5.0,45.0,1,19800000.0
2.0,3,2,2018.0,12.0,44.0,3,40500000.0
1.0,2,1,1975.0,3.0,18.0,3,15000000.0
1.0,7,2,2017.0,9.0,40.0,3,24800000.0
3.0,3,1,1960.0,1.0,60.0,3,38300000.0
3.0,5,2,1986.0,3.0,74.0,3,85000000.0
3.0,1,2,2016.0,9.0,92.0,3,59000000.0
3.0,1,1,1956.0,3.0,72.0,1,85000000.0
3.0,3,3,1976.0,1.0,60.0,3,38000000.0
4.0,3,2,2015.0,2.0,122.0,3,117000000.0
2.0,3,2,2019.0,10.0,55.0,3,62000000.0
2.0,7,2,2023.0,1.0,53.0,0,24000000.0
2.0,6,2,2022.0,3.0,62.7,4,48000000.0
3.0,3,2,2015.0,14.0,130.0,3,118000007.0
3.0,5,2,2017.0,2.0,90.0,3,65000000.0
3.0,4,3,1982.0,1.0,57.8,3,47000000.0
3.0,0,2,2011.0,6.0,80.0,4,29000000.0
3.0,5,1,2010.0,5.0,80.0,3,52000000.0
2.0,1,1,1960.0,1.0,46.0,3,30000000.0
3.0,2,3,1968.0,1.0,60.0,3,38000000.0
2.0,2,1,1974.0,2.0,60.0,3,41999999.0
3.0,0,2,2022.0,2.0,78.0,3,38500000.0
2.0,3,2,2016.0,10.0,63.0,3,52000000.0
1.0,1,3,1975.0,5.0,34.0,3,24700000.0
2.0,1,2,2020.0,6.0,47.0,3,39500000.0
3.0,1,1,1993.0,5.0,73.9,1,48500000.0
3.0,5,2,1984.0,6.0,78.0,3,85000000.0
2.0,3,2,2015.0,12.0,70.0,3,58000000.0
1.0,2,3,1986.0,5.0,32.1,3,26000000.0
1.0,0,2,2014.0,5.0,29.0,3,18500000.0
3.0,0,2,2017.0,4.0,92.0,2,43000000.0
2.0,4,2,2017.0,6.0,42.0,3,23500000.0
4.0,5,1,1975.0,3.0,104.0,3,86000000.0
3.0,3,3,1976.0,1.0,61.6,1,35000000.0
2.0,1,2,2015.0,8.0,86.0,3,75300000.0
1.0,2,2,2002.0,1.0,35.6,3,26000000.0
2.0,3,3,1975.0,3.0,43.0,3,34500000.0
2.0,7,3,1976.0,3.0,45.2,3,23000000.0
2.0,5,2,2019.0,7.0,115.5,3,150000000.0
2.0,3,2,2015.0,3.0,53.0,3,55000000.0
1.0,2,2,2013.0,11.0,45.3,3,36000000.0
3.0,6,2,2009.0,10.0,103.8,4,42000000.0
2.0,0,2,2016.0,5.0,64.0,3,29000000.0
3.0,1,3,1976.0,3.0,65.5,3,41000000.0
3.0,3,2,2007.0,9.0,92.4,3,72000000.0
1.0,6,2,2023.0,6.0,47.0,3,26200000.0
2.0,5,0,2024.0,4.0,107.4,0,68720000.0
2.0,3,2,2023.0,9.0,76.0,4,65000000.0
3.0,6,2,2022.0,9.0,87.0,3,55000000.0
5.0,3,2,2013.0,2.0,210.0,3,198000000.0
4.0,1,2,2020.0,7.0,120.0,3,81000000.0
1.0,7,1,1989.0,3.0,35.0,3,18200000.0
3.0,1,3,1977.0,5.0,58.0,2,30400000.0
2.0,3,3,1982.0,3.0,43.0,3,34000000.0
1.0,2,3,1982.0,1.0,43.0,1,23500000.0
4.0,3,2,2007.0,3.0,145.0,3,115000000.0
2.0,3,2,2005.0,13.0,51.3,3,75000000.0
2.0,1,1,1985.0,5.0,55.0,3,50000000.0
4.0,5,2,2018.0,1.0,125.0,3,113000000.0
1.0,2,1,1969.0,2.0,17.0,3,12500000.0
3.0,6,2,2023.0,5.0,66.0,0,35000000.0
2.0,3,3,2015.0,4.0,52.0,3,35700000.0
2.0,1,2,2012.0,11.0,64.0,3,40000000.0
3.0,2,2,2019.0,4.0,124.0,0,72500000.0
3.0,5,2,2019.0,4.0,71.0,3,39000000.0
2.0,6,2,2022.0,5.0,51.0,4,25800000.0
3.0,3,3,1977.0,5.0,60.0,1,31000000.0
2.0,6,2,2022.0,2.0,61.0,4,29000000.0
4.0,5,2,2010.0,2.0,140.0,3,95000000.0
2.0,4,0,1970.0,2.0,42.0,3,19999999.0
2.0,1,1,1961.0,3.0,55.0,2,34555555.0
2.0,6,2,2023.0,4.0,52.0,3,26000000.0
2.0,4,3,1982.0,5.0,45.0,3,24999000.0
1.0,0,2,2011.0,5.0,50.0,3,28000000.0
3.0,3,2,2015.0,12.0,127.0,3,79500000.0
4.0,3,1,1988.0,5.0,95.0,3,65000000.0
3.0,1,1,1985.0,1.0,74.7,3,63000000.0
3.0,5,2,2019.0,7.0,104.0,3,135000000.0
3.0,3,3,1985.0,3.0,72.0,3,51000000.0
2.0,0,2,2009.0,7.0,70.0,3,38500000.0
3.0,3,2,2016.0,2.0,116.0,3,160000000.0
2.0,3,2,2015.0,1.0,63.5,3,53000000.0
3.0,0,1,1980.0,1.0,62.3,1,45000000.0
3.0,6,2,2021.0,1.0,91.51,3,51999000.0
2.0,3,3,1989.0,2.0,59.2,3,40000000.0
1.0,3,1,1990.0,4.0,34.0,3,29000000.0
5.0,3,2,2006.0,5.0,156.0,3,140000000.0
2.0,6,2,2019.0,5.0,47.3,3,23500000.0
3.0,2,3,1987.0,3.0,72.0,3,53000000.0
3.0,2,3,1969.0,2.0,63.0,3,31500000.0
3.0,1,1,1979.0,5.0,77.0,2,45000000.0
2.0,0,2,2019.0,8.0,60.0,3,31000000.0
1.0,7,2,2016.0,8.0,40.0,3,23500000.0
2.0,1,2,2022.0,8.0,66.0,3,57000000.0
3.0,6,2,2021.0,7.0,86.1,3,40200000.0
2.0,0,2,2011.0,7.0,46.0,3,25700000.0
2.0,0,2,2018.0,7.0,69.0,3,38500000.0
1.0,2,3,1974.0,2.0,14.0,3,10500000.0
2.0,5,2,2010.0,5.0,72.0,3,37600000.0
2.0,1,3,1985.0,7.0,52.0,1,40500000.0
3.0,2,3,1989.0,4.0,74.0,1,46500000.0
3.0,3,2,2022.0,3.0,62.6,3,77000000.0
2.0,3,2,2015.0,12.0,82.0,3,58000000.0
3.0,7,0,1960.0,1.0,46.0,3,18500000.0
3.0,0,2,2023.0,8.0,71.24,4,29000000.0
1.0,2,3,1968.0,3.0,13.0,3,11500000.0
2.0,0,2,2020.0,12.0,54.8,3,29000000.0
2.0,6,2,2015.0,2.0,60.0,3,55000000.0
2.0,6,2,2008.0,3.0,60.0,3,52000000.0
3.0,2,3,1968.0,3.0,65.0,3,38000000.0
2.0,3,2,2022.0,2.0,82.0,3,88000000.0
3.0,3,2,2023.0,7.0,110.8,4,61000000.0
1.0,0,2,2023.0,3.0,43.7,4,18300000.0
1.0,6,2,2019.0,5.0,40.0,3,22500000.0
4.0,1,2,2007.0,14.0,137.6,3,67000000.0
3.0,3,2,2019.0,10.0,85.2,3,84000000.0
1.0,2,3,1989.0,9.0,39.6,3,28500000.0
2.0,7,2,2023.0,4.0,66.59,0,27500000.0
2.0,3,2,2023.0,7.0,63.0,3,73000000.0
4.0,3,2,2006.0,9.0,155.0,3,110000000.0
1.0,0,2,2023.0,6.0,47.0,4,18600000.0
3.0,5,1,1957.0,1.0,70.0,3,50999999.0
3.0,1,3,1978.0,4.0,66.0,3,50600000.0
1.0,0,2,2011.0,4.0,30.0,3,16500000.0
2.0,0,2,2023.0,7.0,57.03,0,19000000.0
2.0,6,2,2019.0,13.0,62.0,3,37000000.0
2.0,2,3,1986.0,5.0,50.0,3,32000000.0
1.0,7,2,2017.0,2.0,45.0,3,24000000.0
1.0,6,1,2007.0,5.0,33.1,1,20000000.0
3.0,3,2,2014.0,17.0,115.0,3,82000000.0
1.0,1,2,2017.0,11.0,47.0,3,44000000.0
4.0,3,2,2021.0,8.0,140.0,3,200000000.0
2.0,1,1,1964.0,3.0,60.0,3,42000000.0
3.0,2,2,2006.0,1.0,90.0,3,60000000.0
4.0,3,1,1988.0,9.0,87.0,1,60000000.0
3.0,3,2,2023.0,8.0,98.0,4,88500000.0
4.0,7,1,1990.0,3.0,86.0,3,44500000.0
3.0,5,1,2009.0,5.0,122.0,3,130000000.0
4.0,2,3,1989.0,5.0,95.0,1,56000000.0
4.0,3,2,2022.0,19.0,104.0,3,100000000.0
2.0,6,2,2013.0,1.0,33.0,3,30000000.0
5.0,2,2,2009.0,12.0,167.0,3,79900000.0
2.0,4,2,2018.0,6.0,65.7,3,39900000.0
2.0,3,2,2009.0,5.0,93.0,3,70000000.0
4.0,3,2,2016.0,2.0,170.0,3,255000000.0
2.0,6,2,2023.0,7.0,61.0,0,26000000.0
2.0,6,2,2018.0,8.0,62.0,1,30000000.0
1.0,3,3,1983.0,4.0,43.0,3,34500000.0
1.0,0,2,2015.0,1.0,43.8,3,20500000.0
3.0,1,1,1982.0,5.0,69.3,3,50500000.0
1.0,0,2,2014.0,3.0,44.0,3,20500000.0
1.0,4,2,2006.0,3.0,42.0,3,24000000.0
1.0,6,2,2023.0,4.0,40.0,4,17500000.0
4.0,5,2,2007.0,3.0,149.0,3,138000000.0
1.0,3,2,2015.0,12.0,46.6,3,40000000.0
2.0,1,3,1978.0,1.0,55.0,1,37500000.0
2.0,0,2,2011.0,5.0,68.8,1,36000000.0
3.0,1,1,1993.0,8.0,75.0,3,63000000.0
3.0,5,2,2023.0,6.0,77.9,0,33600000.0
2.0,6,2,2012.0,14.0,98.0,3,40000000.0
2.0,0,2,2011.0,4.0,42.0,3,25000000.0
1.0,2,1,1973.0,5.0,42.0,3,28500000.0
3.0,3,1,1961.0,1.0,52.7,3,34500000.0
4.0,3,2,2019.0,8.0,102.0,3,85000000.0
2.0,2,3,1992.0,2.0,60.0,3,43000000.0
4.0,3,3,1988.0,5.0,83.7,3,52400000.0
2.0,0,2,2018.0,4.0,39.5,3,23000000.0
1.0,4,2,2006.0,3.0,45.0,3,26900000.0
1.0,7,2,2017.0,3.0,44.8,3,25000000.0
2.0,6,2,2023.0,2.0,74.0,3,35500000.0
1.0,5,1,1977.0,1.0,31.6,1,36000000.0
2.0,2,3,1964.0,4.0,45.3,3,28300000.0
1.0,2,3,1968.0,1.0,32.0,3,24000000.0
1.0,2,1,1978.0,3.0,20.3,3,14200000.0
3.0,1,2,2012.0,13.0,100.0,3,59500000.0
3.0,3,2,2021.0,3.0,82.3,0,61500000.0
4.0,1,3,1976.0,2.0,74.0,3,48000000.0
2.0,5,2,2023.0,4.0,66.59,0,27500000.0
3.0,2,3,1998.0,2.0,72.0,3,42500000.0
2.0,1,2,2019.0,9.0,68.0,3,78500000.0
2.0,1,3,1991.0,5.0,46.0,2,38500000.0
2.0,3,2,2021.0,2.0,55.5,3,67500000.0
3.0,1,1,2001.0,1.0,70.0,3,47500000.0
3.0,3,2,2016.0,2.0,93.0,3,88000000.0
4.0,3,2,1983.0,2.0,85.0,3,76000000.0
2.0,0,2,2011.0,4.0,48.0,3,27000000.0
2.0,2,3,1967.0,2.0,46.0,3,28500000.0
3.0,2,3,1971.0,2.0,73.0,3,38500000.0
2.0,0,2,2010.0,9.0,68.7,3,40000000.0
1.0,6,2,2023.0,9.0,35.0,3,24500000.0
3.0,5,3,1969.0,2.0,58.0,3,42000000.0
1.0,7,1,1991.0,5.0,33.2,2,15000000.0
3.0,3,2,2009.0,4.0,109.0,3,93000000.0
3.0,7,2,2017.0,8.0,75.5,1,35999900.0
